,Latent,Tau
0,PCA 50D,0.6444444444444444
1,PCA 50D,0.24444444444444444
2,PCA 50D,-0.1111111111111111
3,PCA 50D,0.6444444444444444
4,PCA 50D,0.6444444444444444
5,PCA 50D,0.6444444444444444
6,PCA 50D,0.24444444444444444
7,PCA 50D,0.3333333333333333
8,PCA 50D,0.5555555555555555
9,PCA 50D,0.5555555555555555
10,PCA 50D t-SNE,0.4222222222222222
11,PCA 50D t-SNE,0.5555555555555555
12,PCA 50D t-SNE,0.15555555555555553
13,PCA 50D t-SNE,0.5555555555555555
14,PCA 50D t-SNE,0.6
15,PCA 50D t-SNE,0.24444444444444444
16,PCA 50D t-SNE,0.4666666666666666
17,PCA 50D t-SNE,0.4222222222222222
18,PCA 50D t-SNE,0.4666666666666666
19,PCA 50D t-SNE,0.6444444444444444
20,PCA 50D UMAP,0.19999999999999998
21,PCA 50D UMAP,0.15555555555555553
22,PCA 50D UMAP,0.022222222222222223
23,PCA 50D UMAP,0.6444444444444444
24,PCA 50D UMAP,0.5111111111111111
25,PCA 50D UMAP,0.06666666666666667
26,PCA 50D UMAP,0.15555555555555553
27,PCA 50D UMAP,0.24444444444444444
28,PCA 50D UMAP,0.28888888888888886
29,PCA 50D UMAP,0.5555555555555555
30,PCA 100D,0.5111111111111111
31,PCA 100D,0.022222222222222223
32,PCA 100D,-0.1111111111111111
33,PCA 100D,0.6
34,PCA 100D,0.6444444444444444
35,PCA 100D,0.4666666666666666
36,PCA 100D,0.24444444444444444
37,PCA 100D,0.3333333333333333
38,PCA 100D,0.5555555555555555
39,PCA 100D,0.6
40,PCA 100D t-SNE,0.4666666666666666
41,PCA 100D t-SNE,0.6444444444444444
42,PCA 100D t-SNE,0.06666666666666667
43,PCA 100D t-SNE,0.8666666666666666
44,PCA 100D t-SNE,0.8666666666666666
45,PCA 100D t-SNE,0.28888888888888886
46,PCA 100D t-SNE,0.6
47,PCA 100D t-SNE,0.4222222222222222
48,PCA 100D t-SNE,0.4222222222222222
49,PCA 100D t-SNE,0.5555555555555555
50,PCA 100D UMAP,0.28888888888888886
51,PCA 100D UMAP,0.28888888888888886
52,PCA 100D UMAP,-0.06666666666666667
53,PCA 100D UMAP,0.37777777777777777
54,PCA 100D UMAP,0.19999999999999998
55,PCA 100D UMAP,0.19999999999999998
56,PCA 100D UMAP,0.4222222222222222
57,PCA 100D UMAP,0.3333333333333333
58,PCA 100D UMAP,0.37777777777777777
59,PCA 100D UMAP,0.5555555555555555
60,PCA 50D,0.6444444444444444
61,PCA 50D,0.24444444444444444
62,PCA 50D,-0.1111111111111111
63,PCA 50D,0.6444444444444444
64,PCA 50D,0.6444444444444444
65,PCA 50D,0.6444444444444444
66,PCA 50D,0.24444444444444444
67,PCA 50D,0.3333333333333333
68,PCA 50D,0.5555555555555555
69,PCA 50D,0.5555555555555555
70,PCA 50D t-SNE,0.4222222222222222
71,PCA 50D t-SNE,0.5555555555555555
72,PCA 50D t-SNE,0.15555555555555553
73,PCA 50D t-SNE,0.6
74,PCA 50D t-SNE,0.6
75,PCA 50D t-SNE,0.28888888888888886
76,PCA 50D t-SNE,0.5111111111111111
77,PCA 50D t-SNE,0.4666666666666666
78,PCA 50D t-SNE,0.4222222222222222
79,PCA 50D t-SNE,0.6
80,PCA 50D UMAP,0.3333333333333333
81,PCA 50D UMAP,0.3333333333333333
82,PCA 50D UMAP,-0.022222222222222223
83,PCA 50D UMAP,0.3333333333333333
84,PCA 50D UMAP,0.06666666666666667
85,PCA 50D UMAP,0.28888888888888886
86,PCA 50D UMAP,0.19999999999999998
87,PCA 50D UMAP,0.3333333333333333
88,PCA 50D UMAP,0.1111111111111111
89,PCA 50D UMAP,0.28888888888888886
90,PCA 100D,0.5555555555555555
91,PCA 100D,0.022222222222222223
92,PCA 100D,-0.1111111111111111
93,PCA 100D,0.6
94,PCA 100D,0.6444444444444444
95,PCA 100D,0.4666666666666666
96,PCA 100D,0.24444444444444444
97,PCA 100D,0.3333333333333333
98,PCA 100D,0.5555555555555555
99,PCA 100D,0.6
100,PCA 100D t-SNE,0.4666666666666666
101,PCA 100D t-SNE,0.6444444444444444
102,PCA 100D t-SNE,0.06666666666666667
103,PCA 100D t-SNE,0.7777777777777777
104,PCA 100D t-SNE,0.8666666666666666
105,PCA 100D t-SNE,0.15555555555555553
106,PCA 100D t-SNE,0.6
107,PCA 100D t-SNE,0.4222222222222222
108,PCA 100D t-SNE,0.4666666666666666
109,PCA 100D t-SNE,0.5555555555555555
110,PCA 100D UMAP,0.24444444444444444
111,PCA 100D UMAP,0.28888888888888886
112,PCA 100D UMAP,0.1111111111111111
113,PCA 100D UMAP,0.5555555555555555
114,PCA 100D UMAP,0.6
115,PCA 100D UMAP,0.19999999999999998
116,PCA 100D UMAP,0.6888888888888888
117,PCA 100D UMAP,0.5111111111111111
118,PCA 100D UMAP,0.4666666666666666
119,PCA 100D UMAP,0.28888888888888886
120,PCA 50D,0.6444444444444444
121,PCA 50D,0.19999999999999998
122,PCA 50D,-0.1111111111111111
123,PCA 50D,0.6444444444444444
124,PCA 50D,0.6444444444444444
125,PCA 50D,0.6444444444444444
126,PCA 50D,0.24444444444444444
127,PCA 50D,0.3333333333333333
128,PCA 50D,0.5555555555555555
129,PCA 50D,0.5555555555555555
130,PCA 50D t-SNE,0.37777777777777777
131,PCA 50D t-SNE,0.5555555555555555
132,PCA 50D t-SNE,0.1111111111111111
133,PCA 50D t-SNE,0.6
134,PCA 50D t-SNE,0.6888888888888888
135,PCA 50D t-SNE,0.24444444444444444
136,PCA 50D t-SNE,0.5111111111111111
137,PCA 50D t-SNE,0.37777777777777777
138,PCA 50D t-SNE,0.4666666666666666
139,PCA 50D t-SNE,0.6444444444444444
140,PCA 50D UMAP,0.24444444444444444
141,PCA 50D UMAP,0.28888888888888886
142,PCA 50D UMAP,0.022222222222222223
143,PCA 50D UMAP,0.24444444444444444
144,PCA 50D UMAP,0.15555555555555553
145,PCA 50D UMAP,0.15555555555555553
146,PCA 50D UMAP,0.4222222222222222
147,PCA 50D UMAP,0.24444444444444444
148,PCA 50D UMAP,0.28888888888888886
149,PCA 50D UMAP,0.3333333333333333
150,PCA 100D,0.5111111111111111
151,PCA 100D,0.022222222222222223
152,PCA 100D,-0.1111111111111111
153,PCA 100D,0.6444444444444444
154,PCA 100D,0.6444444444444444
155,PCA 100D,0.4666666666666666
156,PCA 100D,0.24444444444444444
157,PCA 100D,0.3333333333333333
158,PCA 100D,0.5555555555555555
159,PCA 100D,0.6
160,PCA 100D t-SNE,0.4666666666666666
161,PCA 100D t-SNE,0.6444444444444444
162,PCA 100D t-SNE,0.022222222222222223
163,PCA 100D t-SNE,0.7333333333333333
164,PCA 100D t-SNE,0.8666666666666666
165,PCA 100D t-SNE,0.24444444444444444
166,PCA 100D t-SNE,0.5555555555555555
167,PCA 100D t-SNE,0.4222222222222222
168,PCA 100D t-SNE,0.4666666666666666
169,PCA 100D t-SNE,0.6888888888888888
170,PCA 100D UMAP,0.28888888888888886
171,PCA 100D UMAP,0.28888888888888886
172,PCA 100D UMAP,-0.06666666666666667
173,PCA 100D UMAP,0.6888888888888888
174,PCA 100D UMAP,0.3333333333333333
175,PCA 100D UMAP,0.24444444444444444
176,PCA 100D UMAP,0.4666666666666666
177,PCA 100D UMAP,0.4222222222222222
178,PCA 100D UMAP,0.37777777777777777
179,PCA 100D UMAP,0.6
