,Latent,Tau
0,PCA 50D,0.5111111111111111
1,PCA 50D,0.19999999999999998
2,PCA 50D,0.06666666666666667
3,PCA 50D,0.4222222222222222
4,PCA 50D,0.37777777777777777
5,PCA 50D,0.4666666666666666
6,PCA 50D,0.24444444444444444
7,PCA 50D,0.3333333333333333
8,PCA 50D,0.37777777777777777
9,PCA 50D,0.4222222222222222
10,PCA 50D t-SNE,0.4666666666666666
11,PCA 50D t-SNE,0.5111111111111111
12,PCA 50D t-SNE,0.1111111111111111
13,PCA 50D t-SNE,0.4222222222222222
14,PCA 50D t-SNE,0.4222222222222222
15,PCA 50D t-SNE,0.3333333333333333
16,PCA 50D t-SNE,0.37777777777777777
17,PCA 50D t-SNE,0.37777777777777777
18,PCA 50D t-SNE,0.5555555555555555
19,PCA 50D t-SNE,0.5111111111111111
20,PCA 50D UMAP,0.4222222222222222
21,PCA 50D UMAP,0.37777777777777777
22,PCA 50D UMAP,0.1111111111111111
23,PCA 50D UMAP,0.4222222222222222
24,PCA 50D UMAP,0.4222222222222222
25,PCA 50D UMAP,0.37777777777777777
26,PCA 50D UMAP,0.06666666666666667
27,PCA 50D UMAP,0.15555555555555553
28,PCA 50D UMAP,0.1111111111111111
29,PCA 50D UMAP,0.37777777777777777
30,PCA 100D,0.37777777777777777
31,PCA 100D,0.1111111111111111
32,PCA 100D,0.1111111111111111
33,PCA 100D,0.28888888888888886
34,PCA 100D,0.24444444444444444
35,PCA 100D,0.37777777777777777
36,PCA 100D,0.19999999999999998
37,PCA 100D,0.24444444444444444
38,PCA 100D,0.4666666666666666
39,PCA 100D,0.4222222222222222
40,PCA 100D t-SNE,0.4222222222222222
41,PCA 100D t-SNE,0.6
42,PCA 100D t-SNE,0.022222222222222223
43,PCA 100D t-SNE,0.911111111111111
44,PCA 100D t-SNE,0.8222222222222221
45,PCA 100D t-SNE,0.37777777777777777
46,PCA 100D t-SNE,0.5111111111111111
47,PCA 100D t-SNE,0.15555555555555553
48,PCA 100D t-SNE,0.37777777777777777
49,PCA 100D t-SNE,0.6444444444444444
50,PCA 100D UMAP,0.24444444444444444
51,PCA 100D UMAP,0.19999999999999998
52,PCA 100D UMAP,0.19999999999999998
53,PCA 100D UMAP,0.5555555555555555
54,PCA 100D UMAP,0.4666666666666666
55,PCA 100D UMAP,0.28888888888888886
56,PCA 100D UMAP,0.4666666666666666
57,PCA 100D UMAP,0.37777777777777777
58,PCA 100D UMAP,0.28888888888888886
59,PCA 100D UMAP,0.37777777777777777
60,PCA 50D,0.5111111111111111
61,PCA 50D,0.1111111111111111
62,PCA 50D,0.06666666666666667
63,PCA 50D,0.4666666666666666
64,PCA 50D,0.4222222222222222
65,PCA 50D,0.4666666666666666
66,PCA 50D,0.24444444444444444
67,PCA 50D,0.3333333333333333
68,PCA 50D,0.37777777777777777
69,PCA 50D,0.4666666666666666
70,PCA 50D t-SNE,0.4222222222222222
71,PCA 50D t-SNE,0.5111111111111111
72,PCA 50D t-SNE,0.15555555555555553
73,PCA 50D t-SNE,0.4222222222222222
74,PCA 50D t-SNE,0.5555555555555555
75,PCA 50D t-SNE,0.24444444444444444
76,PCA 50D t-SNE,0.37777777777777777
77,PCA 50D t-SNE,0.24444444444444444
78,PCA 50D t-SNE,0.5111111111111111
79,PCA 50D t-SNE,0.5555555555555555
80,PCA 50D UMAP,0.28888888888888886
81,PCA 50D UMAP,0.15555555555555553
82,PCA 50D UMAP,0.1111111111111111
83,PCA 50D UMAP,0.19999999999999998
84,PCA 50D UMAP,0.1111111111111111
85,PCA 50D UMAP,0.19999999999999998
86,PCA 50D UMAP,0.19999999999999998
87,PCA 50D UMAP,0.24444444444444444
88,PCA 50D UMAP,0.24444444444444444
89,PCA 50D UMAP,0.6
90,PCA 100D,0.3333333333333333
91,PCA 100D,0.06666666666666667
92,PCA 100D,0.022222222222222223
93,PCA 100D,0.3333333333333333
94,PCA 100D,0.24444444444444444
95,PCA 100D,0.37777777777777777
96,PCA 100D,0.19999999999999998
97,PCA 100D,0.24444444444444444
98,PCA 100D,0.4666666666666666
99,PCA 100D,0.4222222222222222
100,PCA 100D t-SNE,0.37777777777777777
101,PCA 100D t-SNE,0.6444444444444444
102,PCA 100D t-SNE,0.022222222222222223
103,PCA 100D t-SNE,0.911111111111111
104,PCA 100D t-SNE,0.8222222222222221
105,PCA 100D t-SNE,0.3333333333333333
106,PCA 100D t-SNE,0.5111111111111111
107,PCA 100D t-SNE,0.19999999999999998
108,PCA 100D t-SNE,0.4222222222222222
109,PCA 100D t-SNE,0.6444444444444444
110,PCA 100D UMAP,0.37777777777777777
111,PCA 100D UMAP,0.37777777777777777
112,PCA 100D UMAP,0.24444444444444444
113,PCA 100D UMAP,0.6888888888888888
114,PCA 100D UMAP,0.4666666666666666
115,PCA 100D UMAP,0.37777777777777777
116,PCA 100D UMAP,0.5111111111111111
117,PCA 100D UMAP,0.4222222222222222
118,PCA 100D UMAP,0.24444444444444444
119,PCA 100D UMAP,0.3333333333333333
120,PCA 50D,0.5111111111111111
121,PCA 50D,0.1111111111111111
122,PCA 50D,0.022222222222222223
123,PCA 50D,0.4222222222222222
124,PCA 50D,0.4666666666666666
125,PCA 50D,0.4666666666666666
126,PCA 50D,0.19999999999999998
127,PCA 50D,0.37777777777777777
128,PCA 50D,0.37777777777777777
129,PCA 50D,0.4666666666666666
130,PCA 50D t-SNE,0.4222222222222222
131,PCA 50D t-SNE,0.5111111111111111
132,PCA 50D t-SNE,0.15555555555555553
133,PCA 50D t-SNE,0.3333333333333333
134,PCA 50D t-SNE,0.4666666666666666
135,PCA 50D t-SNE,0.37777777777777777
136,PCA 50D t-SNE,0.37777777777777777
137,PCA 50D t-SNE,0.37777777777777777
138,PCA 50D t-SNE,0.5111111111111111
139,PCA 50D t-SNE,0.4666666666666666
140,PCA 50D UMAP,0.3333333333333333
141,PCA 50D UMAP,0.28888888888888886
142,PCA 50D UMAP,0.15555555555555553
143,PCA 50D UMAP,0.4222222222222222
144,PCA 50D UMAP,0.3333333333333333
145,PCA 50D UMAP,0.37777777777777777
146,PCA 50D UMAP,0.3333333333333333
147,PCA 50D UMAP,0.37777777777777777
148,PCA 50D UMAP,0.19999999999999998
149,PCA 50D UMAP,0.6
150,PCA 100D,0.37777777777777777
151,PCA 100D,0.06666666666666667
152,PCA 100D,-0.022222222222222223
153,PCA 100D,0.3333333333333333
154,PCA 100D,0.24444444444444444
155,PCA 100D,0.37777777777777777
156,PCA 100D,0.19999999999999998
157,PCA 100D,0.24444444444444444
158,PCA 100D,0.4666666666666666
159,PCA 100D,0.4222222222222222
160,PCA 100D t-SNE,0.37777777777777777
161,PCA 100D t-SNE,0.6444444444444444
162,PCA 100D t-SNE,0.022222222222222223
163,PCA 100D t-SNE,0.8666666666666666
164,PCA 100D t-SNE,0.8222222222222221
165,PCA 100D t-SNE,0.24444444444444444
166,PCA 100D t-SNE,0.4666666666666666
167,PCA 100D t-SNE,0.19999999999999998
168,PCA 100D t-SNE,0.37777777777777777
169,PCA 100D t-SNE,0.6
170,PCA 100D UMAP,0.4222222222222222
171,PCA 100D UMAP,0.19999999999999998
172,PCA 100D UMAP,0.15555555555555553
173,PCA 100D UMAP,0.28888888888888886
174,PCA 100D UMAP,0.6
175,PCA 100D UMAP,0.4222222222222222
176,PCA 100D UMAP,0.24444444444444444
177,PCA 100D UMAP,0.4222222222222222
178,PCA 100D UMAP,0.37777777777777777
179,PCA 100D UMAP,0.5111111111111111
