,Latent,Distance,Value,KS
0,Ambient,Inter-Type,7230.832107003014,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
1,Ambient,Inter-Type,8170.645224419676,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
2,Ambient,Inter-Type,6645.460290523878,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
3,Ambient,Inter-Type,6335.258882619401,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
4,Ambient,Inter-Type,6200.709105172395,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
5,Ambient,Inter-Type,10205.657781578782,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
6,Ambient,Inter-Type,8075.734250547665,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
7,Ambient,Inter-Type,7945.442225120984,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
8,Ambient,Inter-Type,6371.36058156926,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
9,Ambient,Inter-Type,8320.243840554687,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
10,Ambient,Inter-Type,7476.209742902147,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
11,Ambient,Inter-Type,7232.990117260848,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
12,Ambient,Inter-Type,7318.723968573157,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
13,Ambient,Inter-Type,10632.543412549929,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
14,Ambient,Inter-Type,8632.648436679374,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
15,Ambient,Inter-Type,8631.130162962454,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
16,Ambient,Inter-Type,7213.038859848266,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
17,Ambient,Inter-Type,8142.33413032126,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
18,Ambient,Inter-Type,8081.088833781245,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
19,Ambient,Inter-Type,8232.958443123289,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
20,Ambient,Inter-Type,10084.302272530054,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
21,Ambient,Inter-Type,8724.93330340672,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
22,Ambient,Inter-Type,8584.518747786804,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
23,Ambient,Inter-Type,7916.243809889656,"KstestResult(statistic=0.5666666666666667, pvalue=0.005950690763228176, statistic_location=7609.544712072935, statistic_sign=-1)"
